Código do contrato,Nome do imóvel,Nome do proprietário,Bairro,Cidade,Estado,Número de inquilinos,Nome(s) do(s) inquilino(s),Número de proprietários/beneficiários,Nomes dos proprietários/beneficíarios,Valor do aluguel,Taxa de administração do contrato,Taxa de locação do contrato,Taxa de administração é valor fixo,Taxa de locação é valor fixo,Data de início do contrato,Data do fim do contrato,Valor de venda do imóvel,Data de recisão,Contrato ativo,Número de locações do imóvel,Data do último reajuste,Contrato suspenso,Gerente comercial,Tipo de imóvel,Tipo de contrato,Tempo de contrato,Tempo para fim do contrato,Valor taxa de administração,Valor taxa de locação
72/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 120 ",Teste Sem Reajuste,Chácara Santa Letícia,Campinas,SP,1,['Blue Ivy'],1,Teste Sem Reajuste,3000.0,0.0,0.0,Não,Não,2020-10-10,2023-04-09,300000.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,1063,-152.0,0.0,0.0
73/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 1 ",Teste Sem Configurações,Chácara Santa Letícia,Campinas,SP,1,['Blue Ivy'],1,Teste Sem Configurações,3500.0,10.0,0.0,Não,Sim,2020-10-11,2023-04-10,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,1062,-151.0,350.0,0.0
96/1,"Apartamento No Dxfgvf, Resgdxf",Gt Emprrendimentos Imobiliários,Dxfgvf,Piracaia,SP,1,['Childish Gambino'],1,Gt Emprrendimentos Imobiliários,100.0,10.0,10.0,Não,Sim,2020-10-15,2023-04-14,0.0,,Sim,1,2021-06-30,Sim,,Apartamento,Residencial,1058,-147.0,10.0,10.0
74/1,"Casa No Chácara Santa Letícia, Rua Francisco Ferreira Da Silva 2 ",Luiz Da Silva Silva,Chácara Santa Letícia,Campinas,SP,1,['Imobiliária terceira'],2,Luiz Da Silva Silva,3500.0,0.0,0.0,Não,Sim,2020-10-18,2023-04-17,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,1055,-144.0,0.0,0.0
454/1,"Sala Comercial No Jardim Da Penha, Rua Comissário Octávio Queiroz 648  Ed. Santarém, Sala 12 ",Luis Antonio,Jardim Da Penha,Vitória,ES,1,['choco bebe lindão'],1,Luis Antonio,600.0,5.0,30.0,Não,Não,2021-04-29,2023-04-28,0.0,,Sim,1,2021-04-01,Sim,,Sala comercial,Comercial,862,-133.0,30.0,180.0
83/4,"Casa No Jardim Nossa Senhora De Fátima, Rua Silvana Aparecida De Abreu 123 ",Tsumi,Jardim Nossa Senhora De Fátima,Hortolândia,SP,1,['Imobiliária terceira'],1,Tsumi,1000.0,10.0,0.0,Não,Não,2020-11-13,2023-05-12,0.0,,Sim,4,2021-06-30,Sim,,Casa,Residencial,1029,-119.0,100.0,0.0
uru1001/1,"Casa No Centro, Rua Uruguaiana 1001 ",José Ribeiro,Centro,Rio De Janeiro,RJ,1,['Alexandre Santos'],1,José Ribeiro,8000.0,10.0,0.0,Não,Sim,2020-11-16,2023-05-15,0.0,,Sim,1,2022-11-16,Sim,,Casa,Residencial,1026,-116.0,800.0,0.0
27/1,"Apartamento No Parque Residencial Salerno (Nova Veneza), Rua Petrolina",Daniel Leal,Parque Residencial Salerno (Nova Veneza),Sumaré,SP,1,['Imobiliária terceira'],2,Daniel Leal,9000.0,20.0,0.0,Não,Não,2020-11-30,2023-05-29,0.0,,Sim,1,2021-06-30,Sim,,Apartamento,Residencial,1012,-102.0,1800.0,0.0
91/2,"Apartamento No Parque Residencial Salerno (Nova Veneza), Rua Petrolina 648  Apto 33 ",Rede Vistoriass,Parque Residencial Salerno (Nova Veneza),Sumaré,SP,1,['Ademir Soares'],1,Rede Vistoriass,9000.0,10.0,0.0,Não,Sim,2020-12-02,2023-06-01,0.0,,Sim,2,2021-06-30,Sim,,Apartamento,Residencial,1010,-99.0,900.0,0.0
45/1,"Casa No Centro, Rua Nicolino Nacaratti 264 ",Fiador Teste - Bruna,Centro,Bragança Paulista,SP,1,['GT Emprrendimentos imobiliários'],1,Fiador Teste - Bruna,1167.32,10.0,0.0,Não,Sim,2020-06-06,2023-06-05,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,1189,-95.0,116.732,0.0
848/1,"Sala Comercial No Jardim Dos Oliveiras, Rua Edmundo Plácido Chiavegatto 154541 ",Luis Antonio,Jardim Dos Oliveiras,Campinas,SP,1,['Adão Santos'],1,Luis Antonio,1500.0,10.0,60.0,Não,Não,2020-12-11,2023-06-10,,,Sim,1,2022-12-01,Sim,,Sala comercial,Comercial,1001,-90.0,150.0,900.0
103/1,"Casa No Teste 3, Rua Teste 137 ",Paolo,Teste 3,Campinas,SP,1,['Imobiliária terceira'],1,Paolo,2228.59,10.0,100.0,Não,Não,2020-12-11,2023-06-10,0.0,,Sim,1,2021-08-18,Sim,,Casa,Residencial,1001,-90.0,222.85900000000004,2228.59
317/6,"Sítio No Caetetuba, Avenida Jerônimo De Camargo 7170 ",Luiz Da Silva Silva,Caetetuba,Campinas,SP,1,['Ademir Soares'],2,Luiz Da Silva Silva,750.0,12.0,10000.0,Não,Sim,2020-12-14,2023-06-13,1700000.0,,Sim,6,2021-11-30,Sim,,Sítio,Residencial,998,-87.0,90.0,10000.0
106/1,"Cobertura No 1515, 1212 1212 ",Ingrid Natsumi Braga,1515,2002,AC,1,['Thayná Cocenza Marinelli'],2,Ingrid Natsumi Braga,121.39,10.0,0.0,Não,Sim,2020-12-15,2023-06-14,0.0,,Sim,1,2021-12-15,Sim,,Cobertura,Residencial,997,-86.0,12.139000000000001,0.0
761/1,"Casa No Santa Amélia, Rua Belo Horizonte 800 ",Patricia Teste,Santa Amélia,Belford Roxo,RJ,1,['FILIPE LOCATARIO TESTE'],1,Patricia Teste,2000.0,10.0,2000.0,Não,Sim,2022-02-01,2023-06-30,,,Sim,1,2023-02-01,Sim,,Casa,Residencial,584,-70.0,200.0,2000.0
276/5,"Casa No Asa Branca, Rua Das Árvores 1234 ",Propteste Quatro,Asa Branca,Feira De Santana,BA,1,['Locteste Seis'],3,Propteste Quatro,10000.0,10.0,,Não,Não,2021-01-01,2023-06-30,,,Sim,5,2022-01-01,Sim,,Casa,Residencial,980,-70.0,1000.0,
389/1,"Casa No Jardim Amoreiras, Rua Maria Luíza Missio Mingone 90000 ",Proprietário De Teste Da Dimob,Jardim Amoreiras,Campinas,SP,1,['Teste de extrato de declaração de IR'],4,Proprietário De Teste Da Dimob,5000.0,10.0,0.0,Não,Sim,2021-01-01,2023-06-30,0.0,,Sim,1,2022-01-01,Sim,,Casa,Residencial,980,-70.0,500.0,0.0
319/1,"Casa No Botafogo, Rua Jorge Miranda 765 ",Carlos Alberto De Nóbrega Praça,Botafogo,Campinas,SP,1,['Aline Freitas'],1,Carlos Alberto De Nóbrega Praça,2000.0,10.0,0.0,Não,Não,2011-01-01,2023-06-30,,,Sim,1,2013-01-01,Sim,,Casa,Residencial,4633,-70.0,200.0,0.0
liga892/3,"Casa No São José, Travessa Ligação 892 ",Jjj C,São José,Belford Roxo,RJ,1,['Base Software'],1,Jjj C,1500.0,10.0,0.0,Não,Não,2021-01-01,2023-06-30,,,Sim,3,2021-01-01,Sim,,Casa,Residencial,980,-70.0,150.0,0.0
liga100/1,"Casa No São José, Estrada Da Ligação 100 ",Almira Santanna,São José,Belford Roxo,RJ,1,['Maria Sedáliaaaaa'],2,Almira Santanna,50625.0,10.0,0.0,Não,Sim,2021-01-01,2023-06-30,,,Sim,1,2021-11-17,Sim,,Casa,Residencial,980,-70.0,5062.5,0.0
146/1,"Casa No Jardim Dos Oliveiras, Praça Coronel Antônio Alexandrino Gorja 56 ",Locatário Do Sant,Jardim Dos Oliveiras,Campinas,SP,1,['Teste do teste'],1,Locatário Do Sant,1203.6,10.0,0.0,Não,Sim,2021-01-01,2023-06-30,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,980,-70.0,120.36,0.0
56/1,"Apartamento Duplex No Vila Teixeira, Rua Joaquim Vilac 800 ",Gt Emprrendimentos Imobiliários,Vila Teixeira,Campinas,SP,1,['Imobiliária terceira'],1,Gt Emprrendimentos Imobiliários,2050.0,10.0,0.0,Não,Sim,2017-09-01,2023-06-30,0.0,,Sim,1,2021-06-01,Sim,,Apartamento duplex,Misto,2198,-70.0,205.0,0.0
Teste 0001/4,"Casa No Vila Lobão, Rua Projetada B 1111 ",Propteste Tres,Vila Lobão,Imperatriz,MA,1,['Blue Ivy'],1,Propteste Tres,26082.23,10.0,0.0,Não,Sim,2021-01-04,2023-07-03,150000.0,,Sim,4,2021-06-30,Sim,,Casa,Residencial,977,-67.0,2608.223,0.0
311/3,"Casa No Muçumagro, Rua Dos Abacateiros 1111 ",Propteste Quatro,Muçumagro,João Pessoa,PB,1,['Locteste Seis'],2,Propteste Quatro,10000.0,10.0,0.0,Não,Sim,2021-01-05,2023-07-04,0.0,,Sim,3,2022-01-05,Sim,,Casa,Residencial,976,-66.0,1000.0,0.0
teste-ju/4,"Casa No Teste, Teste 30 ",Harry Styles,Teste,Piracaia,SP,1,['Ademir Soares'],1,Harry Styles,1073.8,10.0,0.0,Não,Sim,2021-01-05,2023-07-04,0.0,,Sim,4,2022-01-05,Sim,,Casa,Residencial,976,-66.0,107.38,0.0
6/2,"Apartamento Duplex No Jardim Planalto, Rua Ezequiel Anastácio 444  5222 ",Rede Vistoriass,Jardim Planalto,Campinas,SP,1,['Imobiliária terceira'],3,Rede Vistoriass,10000.0,8.0,1000.0,Não,Sim,2020-07-06,2023-07-05,0.0,,Sim,2,2021-06-30,Sim,,Apartamento duplex,Residencial,1159,-65.0,800.0,1000.0
35/2,"Casa No Jardim Proença, Rua Dom Lino Deodato Rodrigues De Carvalho 45 ",Paolo,Jardim Proença,Campinas,SP,1,['GT Emprrendimentos imobiliários'],1,Paolo,751.95,8.0,0.0,Não,Sim,2020-07-06,2023-07-05,0.0,,Sim,2,2021-12-14,Sim,,Casa,Residencial,1159,-65.0,60.156000000000006,0.0
banana/4,"Casa No Loteamento Remanso Campineiro, Rua Luiz Camilo De Camargo 20 ",Giovanna,Loteamento Remanso Campineiro,Hortolândia,SP,1,['Alice Elza Aurora Araújo'],1,Giovanna,1133.99,20.0,0.0,Não,Não,2021-01-08,2023-07-07,0.0,,Sim,4,2022-01-08,Sim,,Casa,Residencial,973,-63.0,226.798,0.0
23/2,"Rancho No Jardim Planalto, Rua Ezequiel Anastácio 72 ",Rodrigo Barros,Jardim Planalto,Campinas,SP,1,['Helena'],1,Rodrigo Barros,500.0,10.0,0.0,Não,Sim,2020-06-09,2023-07-08,0.0,,Sim,2,2021-06-30,Sim,,Rancho,Residencial,1186,-62.0,50.0,0.0
uru102/1,"Casa No Centro, Rua Uruguaiana 102 ",James Brown,Centro,Rio De Janeiro,RJ,1,['Bárbara Patrão'],1,James Brown,1870.0,10.0,0.0,Não,Não,2022-07-20,2023-07-19,0.0,,Sim,1,2021-07-20,Sim,,Casa,Residencial,415,-51.0,187.0,0.0
567/1,"Apartamento No Carvoeira, Rua Capitão Romualdo De Barros 997 ",Arthur,Carvoeira,Florianópolis,SC,1,['Ademir Soares'],1,Arthur,1400.0,10.0,0.0,Não,Não,2022-07-25,2023-07-24,,,Sim,1,2022-07-25,Sim,,Apartamento,Não residencial,410,-46.0,140.0,0.0
55/1,"Chácara No Vera Cruz, Travessa Santo Antônio De Pádua 401 ",Djamila Ribeiro,Vera Cruz,Salvador,BA,1,['Violla Davis'],1,Djamila Ribeiro,4328.13,6.0,0.0,Não,Sim,2020-07-27,2023-07-26,0.0,,Sim,1,2021-06-30,Sim,,Chácara,Residencial,1138,-44.0,259.6878,0.0
116/1,"Casa No Brr, Rua Um 2 ",Paolo,Brr,Cdd,AC,1,['Imobiliária terceira'],2,Paolo,10060.09,10.0,100.0,Não,Não,2021-01-28,2023-07-27,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,953,-43.0,1006.009,10060.09
299/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 620 ",Tereza Milena Vanessa Fogaça,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Aline Freitas'],2,Tereza Milena Vanessa Fogaça,2300.0,10.0,0.0,Não,Sim,2021-08-01,2023-07-31,,,Sim,1,2021-08-01,Sim,,Casa,Residencial,768,-39.0,230.0,0.0
299/1,"Casa No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 620 ",Tereza Milena Vanessa Fogaça,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Aline Freitas'],2,Tereza Milena Vanessa Fogaça,2300.0,10.0,0.0,Não,Sim,2021-08-01,2023-07-31,,,Sim,1,2021-08-01,Sim,,Casa,Residencial,768,-39.0,230.0,0.0
174/1,"Apartamento No Botafogo, Rua Falcão Filho 63-1 ",Luisiana Araujo,Botafogo,Campinas,SP,1,['Boss Bitch'],1,Luisiana Araujo,2226.18,10.0,0.0,Não,Sim,2021-02-01,2023-07-31,0.0,,Sim,1,2021-06-30,Sim,,Apartamento,Residencial,949,-39.0,222.618,0.0
Teste 0013/2,"Casa No Do Quadro, Rua São Bartolomeu 456 ",Propqwert,Do Quadro,Vitória,ES,1,['Locatário do Sant'],2,Propqwert,2006.0,10.0,0.0,Não,Sim,2021-02-01,2023-07-31,0.0,,Sim,2,2021-06-30,Sim,,Casa,Residencial,949,-39.0,200.60000000000002,0.0
84/2,"Casa Comercial No Jardim Primavera, Rua Fernando Costa 564 ",Prefeitura,Jardim Primavera,Campinas,SP,1,['Carmello'],2,Prefeitura,800.0,10.0,0.0,Não,Sim,2021-02-01,2023-07-31,0.0,,Sim,2,2021-03-01,Sim,,Casa comercial,Comercial,949,-39.0,80.0,0.0
117/1,"Apartamento No Vgn, Cgvn Vgn ",Paolo,Vgn,Piracaia,SP,1,['Ademir Soares'],2,Paolo,1000.0,0.0,0.0,Não,Sim,2021-02-04,2023-08-03,0.0,,Sim,1,2021-06-30,Sim,,Apartamento,Residencial,946,-36.0,0.0,0.0
76/2,"Chácara No Nova Parnamirim, Avenida Maria Lacerda Montenegro 14 ",Xênia França,Nova Parnamirim,Parnamirim,RN,1,['Ademir Soares'],1,Xênia França,3029.06,10.0,0.0,Não,Não,2021-02-05,2023-08-04,0.0,,Sim,2,2021-06-30,Sim,,Chácara,Residencial,945,-35.0,302.906,0.0
666666/3,"Apartamento Triplex No Vila Teixeira, Super Da Logica 366 ",Luiz Da Silva Silva,Vila Teixeira,Campinas,SP,1,['Imobiliária terceira'],1,Luiz Da Silva Silva,658.13,10.0,5000.0,Não,Sim,2020-08-06,2023-08-05,0.0,,Sim,3,2021-12-14,Sim,,Apartamento triplex,Residencial,1128,-34.0,65.813,5000.0
200/1,"Casa No Vila Teixeira, Rua Joaquim Vilac 89 ",Carla Mariana,Vila Teixeira,Campinas,SP,1,['Black Alien'],2,Carla Mariana,1119.05,10.0,,Não,Não,2021-02-08,2023-08-07,0.0,,Sim,1,2023-02-08,Sim,,Casa,Residencial,942,-32.0,111.905,
115/2,"Casa No 1515, Testeee",Teste 2 Representes,1515,2002,SP,1,['Ademir Soares'],1,Teste 2 Representes,100.3,0.0,0.0,Não,Sim,2021-02-08,2023-08-07,0.0,,Sim,2,2021-06-30,Sim,,Casa,Residencial,942,-32.0,0.0,0.0
218/1,"Casa No Centro, Avenida Rio Branco 345 ",Rodrigo Barros,Centro,Rio De Janeiro,RJ,1,['Ademir Soares'],1,Rodrigo Barros,4014.32,10.0,,Não,Não,2021-02-09,2023-08-08,0.0,,Sim,1,2023-02-09,Sim,,Casa,Residencial,941,-31.0,401.432,
7/5,"Sala Comercial No Bfgnmtg, Fngcjnfbf",Luiz Da Silva Silva,Bfgnmtg,São Paiulo,AC,1,['Ademir Soares'],1,Luiz Da Silva Silva,500.0,10.0,0.0,Não,Sim,2021-02-10,2023-08-09,0.0,,Sim,5,2021-06-30,Sim,,Sala comercial,Residencial,940,-30.0,50.0,0.0
31/2,"Apartamento No Jardim Recanto Dos Sonhos, Rua José Vieira Dos Santos 525  Bloco G Apto. 45 ",Paolo,Jardim Recanto Dos Sonhos,Sumaré,SP,1,['Imobiliária terceira'],1,Paolo,5050.0,10.0,0.0,Não,Não,2021-02-12,2023-08-11,0.0,,Sim,2,2021-06-30,Sim,,Apartamento,Residencial,938,-28.0,505.0,0.0
206/1,"Casa No Vila Teixeira, Rua Joaquim Vilac 89 ",Carla Mariana,Vila Teixeira,Campinas,SP,1,['Ademir Soares'],2,Carla Mariana,5575.45,10.0,,Não,Não,2021-02-17,2023-08-16,0.0,,Sim,1,2023-02-17,Sim,,Casa,Residencial,933,-23.0,557.545,
E.A. 119/1,"Casa No Loteamento Remanso Campineiro, Rua Luiz Camilo De Camargo 20 ",Giovanna,Loteamento Remanso Campineiro,Hortolândia,SP,1,['Ademir Soares'],1,Giovanna,2584.34,10.0,0.0,Não,Sim,2021-02-19,2023-08-18,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,931,-21.0,258.434,0.0
527/1,"Casa No Vila Boa Esperança, Rua Valentim Gentil",Teste Giovanna 1,Vila Boa Esperança,Ourinhos,SP,1,['Adão Santos'],1,Giovanna,10.0,10.0,0.0,Não,Sim,2022-08-22,2023-08-21,500000.0,,Sim,1,2022-08-22,Sim,,Casa,Residencial,382,-18.0,1.0,0.0
64/2,"Chácara No Candeias, Rua Siqueira Campos 85 ",Normani,Candeias,Vitória Da Conquista,BA,1,['Aline Freitas'],1,Normani,10000.0,10.0,0.0,Não,Não,2020-09-28,2023-08-31,0.0,,Sim,2,2021-09-01,Sim,,Chácara,Residencial,1075,-8.0,1000.0,0.0
15/4,"Casa No Teste, Teste",Tsumi,Teste,Campinas,SP,1,['Alice Elza Aurora Araújo'],1,Tsumi,1687.9,10.0,0.0,Não,Sim,2021-09-01,2023-08-31,0.0,,Sim,4,2021-09-15,Sim,,Casa,Residencial,737,-8.0,168.79000000000002,0.0
166/2,"Apartamento No Jardim Antonio Von Zuben, Rua Chopin",Santiaguito,Jardim Antonio Von Zuben,Campinas,SP,1,['Locatário do Sant'],1,Santiaguito,10030.0,10.0,0.0,Não,Sim,2021-03-01,2023-08-31,,,Sim,2,2021-06-30,Sim,,Apartamento,Residencial,921,-8.0,1003.0,0.0
157/2,"Apartamento No Botafogo, Rua Falcão Filho 220 ",Luisiana Araujo,Botafogo,Campinas,SP,1,['Locatário do Sant'],3,Luisiana Araujo,1003.0,10.0,0.0,Não,Sim,2021-03-01,2023-08-31,0.0,,Sim,2,2021-06-30,Sim,,Apartamento,Residencial,921,-8.0,100.30000000000001,0.0
aaaaaaaa/4,"Apartamento No Centro, Rua Padre Vieira 000  Apto 1 ",José Da Silva,Centro,Campinas,SP,1,['Cliente exemplo'],1,José Da Silva,2500.0,10.0,0.0,Não,Não,2021-03-02,2023-09-01,150000.0,,Sim,4,2021-06-30,Sim,,Apartamento,Residencial,920,-7.0,250.0,0.0
159/1,"Apartamento No Centro, Rua Padre Vieira 001  Apto 1 ",José Da Silva,Centro,Campinas,SP,1,['Childish Gambino'],1,José Da Silva,2500.0,10.0,50.0,Não,Não,2021-03-08,2023-09-07,150000.0,,Sim,1,2021-06-30,Sim,,Apartamento,Residencial,914,-1.0,250.0,1250.0
27/6,"Apartamento No Gggggg, Teste",Xênia França,Gggggg,Piracaia,SP,1,['Ademir Soares'],3,Xênia França,3375.82,10.0,0.0,Não,Sim,2021-03-08,2023-09-07,0.0,,Sim,6,2021-06-30,Sim,,Apartamento,Residencial,914,-1.0,337.58200000000005,0.0
130/5,"Casa No Itaperu, Rua Governador Artur De Vasconcelos",Santiaguito,Itaperu,Teresina,PI,1,['Base Software'],3,Santiaguito,10226.63,7.0,,Não,Não,2021-03-09,2023-09-08,0.0,,Sim,5,2021-06-30,Sim,,Casa,Residencial,913,0.0,715.8641,
153/1,"Casa No Botafogo, Rua Falcão Filho 73  23 ",Luiza Eloá Larissa Aparício,Botafogo,Campinas,SP,1,['Luana e Cauê Telecom ME'],1,Luiza Eloá Larissa Aparício,6157.0,10.0,0.0,Não,Sim,2021-03-09,2023-09-08,,,Sim,1,2021-06-30,Sim,,Casa,Residencial,913,0.0,615.7,0.0
148/4,"Casa No Jardim Dos Oliveiras, Praça Coronel Antônio Alexandrino Gorja",Santiaguito,Jardim Dos Oliveiras,Campinas,SP,1,['Ademir Soares'],1,Santiaguito,928.36,10.0,0.0,Não,Sim,2021-03-10,2023-09-09,,,Sim,4,2021-06-30,Sim,,Casa,Residencial,912,1.0,92.83600000000001,0.0
158/1,"Apartamento No Botafogo, Rua Falcão Filho 220  P1 ",Luisiana Araujo,Botafogo,Campinas,SP,1,['Childish Gambino'],2,Luisiana Araujo,2600.0,10.0,,Não,Não,2021-03-10,2023-09-09,0.0,,Sim,1,2021-06-30,Sim,,Apartamento,Residencial,912,1.0,260.0,
84/3,"Casa Comercial No Jardim Primavera, Rua Fernando Costa 564 ",Prefeitura,Jardim Primavera,Campinas,SP,1,['Carmello'],2,Prefeitura,802.4,8.0,0.0,Não,Sim,2021-03-10,2023-09-09,0.0,,Suspenso,3,2021-06-30,Não,,Casa comercial,Residencial,912,1.0,64.192,0.0
Teste 0005/1,"Casa No Morada Da Serra, Rua O",Propteste Tres,Morada Da Serra,Cuiabá,MT,1,['Locteste Dois'],1,Propteste Tres,10030.0,50.0,0.0,Sim,Sim,2021-03-12,2023-09-11,0.0,,Sim,1,2021-06-30,Sim,,Casa,Residencial,910,3.0,50.0,0.0
